activity_code,activity_text,automation_score,augmentation_score,ai_exposure_score
130208,"Watching climbing, spelunking, caving",0.05,0.05,0.05
130209,Watching dancing,0.05,0.05,0.05
130210,Watching equestrian sports,0.05,0.05,0.05
130211,Watching fencing,0.05,0.05,0.05
130212,Watching fishing,0.05,0.05,0.05
130213,Watching football,0.05,0.05,0.05
130214,Watching golfing,0.05,0.05,0.05
130215,Watching gymnastics,0.05,0.05,0.05
130216,Watching hockey,0.05,0.05,0.05
130217,Watching martial arts,0.05,0.05,0.05
130218,Watching racquet sports,0.05,0.05,0.05
130219,Watching rodeo competitions,0.05,0.05,0.05
130220,Watching rollerblading,0.05,0.05,0.05
130221,Watching rugby,0.05,0.05,0.05
130222,Watching running,0.05,0.05,0.05
130223,"Watching skiing, ice skating, snowboarding",0.05,0.05,0.05
130224,Watching soccer,0.05,0.05,0.05
130225,Watching softball,0.05,0.05,0.05
130226,Watching vehicle touring/racing,0.05,0.05,0.05
130227,Watching volleyball,0.05,0.05,0.05
130228,Watching walking,0.05,0.05,0.05
130229,Watching water sports,0.05,0.05,0.05
130230,Watching weightlifting/strength training,0.05,0.05,0.05
130231,"Watching people working out, unspecified",0.05,0.05,0.05
130232,Watching wrestling,0.05,0.05,0.05
130299,"Attending sporting events, n.e.c.*",0.05,0.05,0.05
130301,Waiting related to playing sports or exercising,0.05,0.05,0.05
130302,Waiting related to attending sporting events,0.05,0.05,0.05
130399,"Waiting associated with sports, exercise, & recreation, n.e.c.*",0.05,0.05,0.05
130401,Security related to playing sports or exercising,0.05,0.05,0.05
130402,Security related to attending sporting events,0.05,0.05,0.05
130499,"Security related to sports, exercise, & recreation, n.e.c.*",0.05,0.05,0.05
139999,"Sports, exercise, & recreation, n.e.c.*",0.05,0.05,0.05
140101,Attending religious services,0.45,0.6,0.532
140102,Participation in religious practices,0.05,0.05,0.05
140103,Waiting associated w/religious & spiritual activities,0.05,0.05,0.05
140104,Security procedures rel. to religious & spiritual activities,0.05,0.05,0.05
140105,Religious education activities,0.05,0.05,0.05
149999,"Religious and spiritual activities, n.e.c.*",0.05,0.05,0.05
150101,Computer use,0.05,0.05,0.05
150102,Organizing and preparing,0.05,0.05,0.05
150103,Reading,0.05,0.05,0.05
150104,Telephone calls (except hotline counseling),0.05,0.05,0.05
150105,Writing,0.05,0.05,0.05
150106,Fundraising,0.05,0.05,0.05
150199,"Administrative & support activities, n.e.c.*",0.05,0.05,0.05
150201,"Food preparation, presentation, clean-up",0.05,0.05,0.05
150202,Collecting & delivering clothing & other goods,0.05,0.05,0.05
150203,Providing care,0.05,0.05,0.05
150204,"Teaching, leading, counseling, mentoring",0.05,0.05,0.05
150299,"Social service & care activities, n.e.c.*",0.05,0.05,0.05
150301,"Building houses, wildlife sites, & other structures",0.05,0.05,0.05
150302,"Indoor & outdoor maintenance, repair, & clean-up",0.05,0.05,0.05
150399,"Indoor & outdoor maintenance, building & clean-up activities, n.e.c.*",0.05,0.05,0.05
150401,Performing,0.05,0.05,0.05
150402,Serving at volunteer events & cultural activities,0.05,0.05,0.05
150499,"Participating in performance & cultural activities, n.e.c.*",0.05,0.05,0.05
150501,"Attending meetings, conferences, & training",0.05,0.05,0.05
150599,"Attending meetings, conferences, & training, n.e.c.*",0.05,0.05,0.05
150601,Public health activities,0.05,0.05,0.05
150602,Public safety activities,0.05,0.05,0.05
150699,"Public health & safety activities, n.e.c.*",0.05,0.05,0.05
159989,"Volunteer activities, n.e.c.*",0.05,0.05,0.05
160101,Telephone calls to/from family members,0.6,0.65,0.628
160102,"Telephone calls to/from friends, neighbors, or acquaintances",0.6,0.65,0.628
160103,Telephone calls to/from education services providers,0.6,0.65,0.628
160104,Telephone calls to/from salespeople,0.6,0.65,0.628
160105,Telephone calls to/from professional or personal care svcs providers,0.6,0.65,0.628
160106,Telephone calls to/from household services providers,0.6,0.65,0.628
160107,Telephone calls to/from paid child or adult care providers,0.6,0.65,0.628
160108,Telephone calls to/from government officials,0.6,0.65,0.628
169989,"Telephone calls, n.e.c.*",0.05,0.05,0.05
180101,Travel related to personal care,0.05,0.05,0.05
180199,"Travel related to personal care, n.e.c.*",0.05,0.05,0.05
180280,Travel related to household activities,0.05,0.05,0.05
180381,Travel related to caring for and helping hh children,0.05,0.05,0.05
180382,Travel related to caring for and helping hh adults,0.05,0.05,0.05
180399,"Travel rel. to caring for & helping hh members, n.e.c.*",0.05,0.05,0.05
180481,Travel related to caring for and helping nonhh children,0.05,0.05,0.05
180482,Travel related to caring for and helping nonhh adults,0.05,0.05,0.05
180499,"Travel rel. to caring for & helping nonhh members, n.e.c.*",0.05,0.05,0.05
180501,Travel related to working,0.05,0.05,0.05
180502,Travel related to work-related activities,0.05,0.05,0.05
180589,"Travel related to work, n.e.c.*",0.05,0.05,0.05
180601,Travel related to taking class,0.05,0.05,0.05
180682,Travel related to education (except taking class),0.05,0.05,0.05
180699,"Travel related to education, n.e.c.*",0.05,0.05,0.05
180701,Travel related to grocery shopping,0.05,0.05,0.05
180782,Travel related to shopping (except grocery shopping),0.05,0.05,0.05
180801,Travel related to using childcare services,0.05,0.05,0.05
180802,Travel related to using financial services and banking,0.05,0.05,0.05
180803,Travel related to using legal services,0.05,0.05,0.05
180804,Travel related to using medical services,0.05,0.05,0.05
180805,Travel related to using personal care services,0.05,0.05,0.05
180806,Travel related to using real estate services,0.05,0.05,0.05
180807,Travel related to using veterinary services,0.05,0.05,0.05
180899,"Travel rel. to using prof. & personal care services, n.e.c.*",0.05,0.05,0.05
180901,Travel related to using household services,0.05,0.05,0.05
180902,Travel related to using home main./repair/décor./construction svcs,0.05,0.05,0.05
180903,Travel related to using pet services (not vet),0.05,0.05,0.05
180904,Travel related to using lawn and garden services,0.05,0.05,0.05
180905,Travel related to using vehicle maintenance & repair services,0.05,0.05,0.05
180999,"Travel related to using household services, n.e.c.*",0.05,0.05,0.05
181002,Travel related to civic obligations & participation,0.05,0.05,0.05
181081,Travel related to using government services,0.05,0.05,0.05
181099,"Travel rel. to govt svcs & civic obligations, n.e.c.*",0.05,0.05,0.05
181101,Travel related to eating and drinking,0.05,0.05,0.05
181199,"Travel related to eating and drinking, n.e.c.*",0.05,0.05,0.05
181201,Travel related to socializing and communicating,0.05,0.05,0.05
